band,Pop,SITE,Year,bandyear,Sex,age,CI1,RS,mRWL,mLTS,mRTS,maxTS,Mass,Date,Date2,Julian,T_Avg.Brightness,T_Hue,T_Chrom,R_Avg.Brightness,R_Hue,R_Chrom,B_Avg.Brightness,B_Hue,B_Chrom,V_Avg.Brightness,V_Hue,V_Chrom,colordate,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.vec,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.vec,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.vec,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.vec,V_tcs.r.achieved,V_sum.B2
2540-44522,CO,Maya's,2008,2540-44522_2008,M,,133,0,121,92.5,91,92.5,20,50708,5/7/08,128,12.11809982,694.15,0.546370814,23.41983609,694.15,0.53028166,13.76527909,690.7966667,0.509877037,14.3709576,681.7733333,0.510571503,2540-44522.50708,-0.13119624,-0.683635865,0.253673228,0.639243305,11.80816927,-0.108953229,-0.732082751,0.246531462,0.658881345,22.81202818,-0.051195612,-0.754089873,0.236715916,0.64803805,13.42394293,-0.116576762,-0.710633506,0.223015548,0.582316704,14.03071224
2540-44523,CO,Maya's,2008,2540-44523_2008,M,,167,0,119,88,87,88,18,50708,5/7/08,128,4.644193791,694.15,0.653724153,39.10639993,611.4466667,0.431718372,41.87564647,588.1,0.401211231,23.29715006,644.7566667,0.523936452,2540-44523.50708,-0.158308092,-0.720408779,0.359039356,0.947130111,4.478547237,0.020187653,-0.8890343,0.176332683,0.54651459,38.36307647,0.043408239,-0.961346582,0.153381082,0.503018021,41.17898127,-0.086892431,-0.785308134,0.246890218,0.698202092,22.68942006
2540-44524,CO,Maya's,2008,2540-44524_2008,M,,150,0,116.5,90.5,89.83333333,90.5,20,50708,5/7/08,128,17.1663088,657.45,0.526008019,19.2418194,668.7633333,0.553136134,21.14345235,681.4566667,0.509001466,20.83024687,694.15,0.497454354,2540-44524.50708,-0.088720079,-0.761726898,0.245805302,0.678688467,16.72066761,-0.088819424,-0.713121125,0.271054829,0.709315349,18.69983548,-0.092511058,-0.798044359,0.231549935,0.662705006,20.61928019,-0.025692525,-0.81919767,0.22619378,0.660572248,20.32279158
2540-44525,CO,Maya's,2008,2540-44525_2008,F,,139,4,114,77,76.33333333,77,21.5,50708,5/7/08,128,15.31079937,694.15,0.535680411,21.59570472,663.4766667,0.530553428,14.432334,675.1066667,0.552624341,20.33648039,633.13,0.541358139,2540-44525.50708,-0.129757755,-0.708173175,0.244367551,0.635682813,14.91773534,-0.067721797,-0.728224183,0.252018114,0.670812504,21.0267633,-0.100715423,-0.757335817,0.271772841,0.74553582,14.02301506,-0.097868135,-0.717311644,0.256975331,0.674645293,19.7912994
2540-44526,CO,Maya's,2008,2540-44526_2008,F,,167,0,115,77,78,78,19,50708,5/7/08,128,16.04150159,658.4133333,0.559025716,40.99089885,606.5066667,0.421336491,21.79978468,628.3766667,0.462405825,19.56522133,620.07,0.521642798,2540-44526.50708,-0.105827924,-0.696074386,0.273632051,0.701723175,15.58539837,-0.021273427,-0.873377673,0.160612866,0.491513177,40.28517541,-0.003535705,-0.824543287,0.202754615,0.594512638,21.33049747,-0.051868805,-0.777247463,0.253193939,0.710266715,19.04862694
2540-44527,CO,Struther,2008,2540-44527_2008,M,,143,5,123,90,90.83333333,90.83333333,18,50908,5/9/08,130,11.4732467,694.15,0.593825324,22.68165916,657.77,0.533037235,22.55241312,657.1333333,0.483217797,18.96659289,657.77,0.526485552,2540-44527.50908,-0.178816834,-0.649170182,0.28705351,0.694147718,11.13198602,-0.061055003,-0.745669893,0.257486111,0.698778775,22.07023274,0.000470779,-0.828086409,0.221714876,0.651802748,22.0250953,-0.071172144,-0.778972246,0.252210858,0.708759784,18.46340037
2540-44528,CO,Struther,2008,2540-44528_2008,F,,,,117.5,81,81.33333333,81.33333333,18.5,50908,5/9/08,130,15.02266433,694.15,0.558179768,26.9398239,635.0766667,0.468666083,29.25440711,616.49,0.447909523,25.10131848,634.7266667,0.485563128,2540-44528.50908,-0.163899163,-0.701586138,0.259651464,0.670347197,14.6087147,0.014850325,-0.827543566,0.209438991,0.616398477,26.3370858,0.004093079,-0.864427849,0.191487437,0.581864014,28.65327485,-0.01072696,-0.828583269,0.222791811,0.655619149,24.50982776
2540-44529,CO,Struther,2008,2540-44529_2008,F,,,,118,79,80,80,22,50908,5/9/08,130,11.67714171,694.15,0.542763042,22.19485946,670.7866667,0.531048152,23.07153497,622.46,0.475404098,25.39824036,634.42,0.507654347,2540-44529.50908,-0.128588074,-0.69847385,0.250273501,0.643416509,11.37182069,-0.07311641,-0.782715307,0.25579725,0.720721547,21.59530802,-0.022190142,-0.881597461,0.21607971,0.666932625,22.53797431,-0.052986254,-0.810795059,0.238679388,0.691253274,24.75548408
2540-44530,CO,Struther,2008,2540-44530_2008,M,,157,7,118,97,96,97,18,50908,5/9/08,130,10.32254799,694.15,0.610204913,37.99486446,610.7333333,0.397738924,32.42147722,603.1466667,0.468186846,23.95383759,622.7533333,0.497776482,2540-44530.50908,-0.15053012,-0.674453486,0.311744831,0.778269749,9.993078755,0.093622617,-0.977762451,0.154350586,0.510972402,37.36639523,0.003611179,-0.884070224,0.215413188,0.665979309,31.6773987,-0.019548491,-0.809941005,0.233910531,0.676820192,23.36426897
2540-44531,CO,Struther,2008,2540-44531_2008,M,,169,4,121,91.5,99,99,19,50908,5/9/08,130,19.05752963,687.4266667,0.496009146,25.28011167,637.4466667,0.496545956,19.7124637,637.7666667,0.520655727,17.64837556,647.4233333,0.574300959,2540-44531.50908,-0.094030679,-0.748498819,0.211865711,0.576772212,18.61927183,-0.014117401,-0.776927602,0.230230472,0.645529668,24.66502173,-0.034358919,-0.763512208,0.248812648,0.687556569,19.19619031,-0.082898147,-0.710084377,0.292509529,0.762706193,17.11526134
2540-44532,CO,Carms,2008,2540-44532_2008,M,,159,0,121.5,94.5,95.5,95.5,19.5,50908,5/9/08,130,9.560325154,694.15,0.575620334,35.41260591,603.7833333,0.427095109,24.22726657,606.1033333,0.507201784,20.58361559,669.8266667,0.51913216,2540-44532.50908,-0.157195259,-0.685197617,0.275639923,0.697738668,9.284656073,0.038174528,-0.872599942,0.171859772,0.525553646,34.76307511,-0.012012231,-0.787068574,0.242820647,0.687885933,23.60851374,-0.072653812,-0.780453609,0.244288206,0.68778025,20.05129645
