Pfx,ID,Sex,subspecies,Data Year,All Data Years (Recap),mRWL,mRTS,Intact?,Mass,T_AvgBri,T_Hue,T_Chrom,R_AvgBri,R_Hue,R_Chrom,B_AvgBri,B_Hue,B_Chrom,V_AvgBri,V_Hue,V_Chrom,Song?,annual.mean T,annual.cv T,breed.meanT,cv.breedT,max.breedT,min.breedT,breed.varianceT,elevation,ClimStatID, Meant, CVt, Meanp, CVp
CO,2540-44534,M,erythrogaster,2008,"2008, 2009",119.67,82.50,Y,18,9.7107,694.1500,0.5957,29.8330,607.4767,0.5012,34.8252,611.7467,0.4413,15.0930,658.1000,0.5422,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44548,M,erythrogaster,2008,2008 only,122.17,83.33,Y,20,9.8668,694.1500,0.5651,18.6997,679.1200,0.4696,29.7915,681.1433,0.4420,25.1058,614.7500,0.4504,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44555,M,erythrogaster,2008,2008 only,119.00,86.83,Y,17.5,14.9537,620.4333,0.4950,15.0822,670.4133,0.5342,19.8433,647.7467,0.5227,20.1968,653.4300,0.5454,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44590,M,erythrogaster,2008,2008 only,115.33,87.83,Y,16.5,14.9290,687.8000,0.5664,23.0047,595.4133,0.5328,15.9486,669.8267,0.4802,16.3940,656.8200,0.5668,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44592,M,erythrogaster,2008,2008 only,125.40,95.00,Y,19.5,17.6306,621.8200,0.4845,24.7553,646.1433,0.4959,18.0954,604.4000,0.5115,18.9498,614.4033,0.5032,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44602,M,erythrogaster,2008,"2008, 2010",122.00,94.00,Y,17.5,9.9673,667.0900,0.5827,28.1442,667.4067,0.4786,27.0894,619.0867,0.4638,22.7916,609.4033,0.5060,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44609,M,erythrogaster,2008,2008 only,121.00,88.50,Y,17.5,12.7868,652.3767,0.5688,32.6116,642.7267,0.4118,36.6399,593.1200,0.4136,36.4107,644.0900,0.4049,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44616,M,erythrogaster,2008,2008 only,119.50,85.50,Y,17,28.8252,630.1000,0.4601,32.2612,607.8100,0.4149,32.5066,606.1033,0.4271,23.6178,607.4867,0.4850,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44619,M,erythrogaster,2008,2008 only,120.83,95.33,Y,16.75,13.9223,681.4567,0.5236,35.5483,577.7167,0.4460,27.1820,558.3767,0.4742,23.1419,619.7433,0.4591,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44620,M,erythrogaster,2008,"2008, 2009",118.33,88.50,Y,17,25.5340,644.7300,0.4574,19.8806,633.1400,0.5161,24.5080,624.0600,0.4860,26.0354,612.7233,0.4947,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44625,M,erythrogaster,2008,2008 only,117.00,92.00,Y,17.75,19.8766,646.0833,0.4970,34.8248,589.3733,0.4605,33.9277,603.0467,0.4608,26.6074,600.0400,0.4959,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44627,M,erythrogaster,2008,2008 only,119.83,79.00,Y,16.5,13.4178,683.4500,0.5500,32.7955,604.4333,0.4552,25.8342,627.4233,0.4589,36.9640,620.7933,0.4604,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44632,M,erythrogaster,2008,2008 only,120.00,96.50,Y,18,18.6280,610.0100,0.4785,29.6641,622.4033,0.4870,18.5469,660.1200,0.5331,17.5517,684.3967,0.5360,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44633,M,erythrogaster,2008,2008 only,122.00,91.50,Y,18,25.7164,656.1467,0.4795,25.0629,648.0767,0.4844,28.9842,635.4567,0.4796,20.6947,652.1133,0.5120,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44645,M,erythrogaster,2008,2008 only,119.33,93.00,Y,16.5,22.2845,595.8067,0.4612,39.6864,567.0733,0.4288,29.5097,582.4267,0.4201,31.1226,568.7267,0.4181,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44649,M,erythrogaster,2008,2008 only,122.00,96.00,Y,17,16.7275,694.1500,0.5196,27.5910,621.5000,0.4910,25.1652,669.8267,0.4773,27.5031,604.0367,0.4706,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44656,M,erythrogaster,2008,2008 only,115.00,88.00,Y,17.75,16.9520,660.0367,0.5433,27.4586,633.4500,0.5018,28.5399,585.0900,0.4816,29.4574,607.8067,0.4855,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44659,M,erythrogaster,2008,2008 only,121.00,90.50,Y,19.5,19.3014,619.4467,0.5591,35.2214,602.0800,0.4790,29.4668,626.7667,0.4584,16.3721,612.4033,0.5773,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44661,M,erythrogaster,2008,2008 only,123.50,90.50,Y,17.25,12.7083,662.7033,0.5726,27.9733,591.0767,0.4893,17.8586,635.7667,0.5325,23.9870,647.7533,0.5178,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44663,M,erythrogaster,2008,"2008, 2009",115.00,95.50,Y,16,23.2331,663.7900,0.4494,35.8848,613.8433,0.4288,32.5797,598.7667,0.4391,23.1228,608.1067,0.5078,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44676,M,erythrogaster,2008,2008 only,116.00,94.00,Y,18,23.6663,663.1033,0.3789,29.2337,582.0533,0.4650,31.5942,576.4500,0.4304,18.0320,656.0700,0.5506,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44679,M,erythrogaster,2008,2008 only,115.67,93.00,Y,NA,21.2082,614.4533,0.5136,39.6558,574.4167,0.4364,32.8987,626.1200,0.4728,23.2753,640.4633,0.4993,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44689,M,erythrogaster,2008,2008 only,118.50,91.00,Y,15,15.0453,669.0500,0.5044,19.1230,664.6900,0.5372,17.6947,672.0600,0.5589,21.1447,628.0767,0.5021,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2351-05897,M,erythrogaster,2009,"2009, 2010",118.00,85.50,Y,18.5,9.9772,687.8000,0.6138,30.8197,586.4000,0.4428,28.1287,585.3733,0.4474,13.0751,622.1400,0.5716,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44547,M,erythrogaster,2009,"2008, 2009, 2010, 2011, 2012",121.67,90.00,Y,17,12.0162,644.0700,0.5401,24.1901,643.3633,0.4818,18.0183,660.4067,0.5057,20.2420,674.0800,0.4790,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
