"","Dyads","mRWL","mRTS","T_AvgBri","T_Hue","T_Chrom","R_AvgBri","R_Hue","R_Chrom","B_AvgBri","B_Hue","B_Chrom","V_AvgBri","V_Hue","V_Chrom","var"
"11","IA-TR",-0.988047078194684,-1.59776665645587,0.827504536848659,-0.122671145048254,0.395776958384923,-0.641236566224936,0.666552519883235,1.25463123300088,-0.797014379782951,0.671140888784491,1.30157962059846,-0.410491598990105,0.513794908433751,0.810444448344434,"traitmean"
"12","IA-IL",-0.995824738389689,-1.38051286146259,0.872944069697694,0.184792348141477,0.586476857188076,-0.0419252045036116,-0.148177543427781,0.486720136286459,-0.0930026904629001,0.473783657811526,0.532424889185977,0.333670076858008,-0.492223233068114,0.113207552200651,"traitmean"
"13","IA-TW",0.926566526177026,-0.431383280763569,1.10906687430362,-0.160012685890705,-0.43764807456729,-1.31632344153049,0.364704638926777,2.24971997766701,-1.21239860353406,-0.231783873417618,2.37528592962083,-1.420193181268,0.591700931851482,2.40974859847776,"traitmean"
"14","UK-CR",0.747922365059255,-0.544725155547706,-0.682538349591047,0.413114075885516,1.25172600518653,-0.26506117237412,-0.352214238428253,0.0664793365683135,-0.680650832168077,-0.39898979733751,0.22442718704673,-0.224768643349927,-0.589867277098322,0.242054832837331,"traitmean"
"15","UK-RM",0.730285568059963,-0.501561537977185,0.589950850387236,0.0225187827531623,0.86242973432868,0.318112050517691,-0.978804468466984,-0.148916091219866,0.606288033125192,-1.30923713413353,-0.0908535611303899,0.681364620680828,-1.15025811805265,-0.303871023164676,"traitmean"
"16","UK-TR",0.902570334257553,-0.116109412924664,-0.0704890380601168,0.252968116581898,0.692300209877305,0.468504989460904,0.161898528296435,-0.357227047196925,0.160692788685812,0.144313634188406,-0.155405332000678,0.624378003863429,-0.260252583296377,-0.419674434865303,"traitmean"
"17","UK-IL",0.894792674062548,0.101144382068612,-0.0250495052110817,0.560431609771629,0.883000108680458,1.06781635118223,-0.65283153501458,-1.12513814391134,0.864704478005862,-0.0530435967845589,-0.924560063413159,1.36853967971154,-1.26627072479824,-1.11691133100909,"traitmean"
"18","UK-TW",2.81718393862926,1.05027396276764,0.211073299394842,0.215626575739447,-0.141124823074908,-0.206581885844647,-0.139949352660022,0.637861697469204,-0.254691435065297,-0.758611128013703,0.918300977021695,-0.385323578414464,-0.182346559878646,1.17962971526802,"traitmean"
"19","CR-RM",-0.0176367969992927,0.0431636175705207,1.27248919997828,-0.390595293132353,-0.389296270857848,0.583173222891811,-0.626590230038731,-0.21539542778818,1.28693886529327,-0.910247336796023,-0.31528074817712,0.906133264030755,-0.560390840954332,-0.545925856002007,"traitmean"
"20","CR-TR",0.154647969198298,0.428615742623042,0.61204931153093,-0.160145959303617,-0.559425795309223,0.733566161835023,0.514112766724688,-0.423706383765238,0.841343620853888,0.543303431525916,-0.379832519047408,0.849146647213356,0.329614693801945,-0.661729267702635,"traitmean"
