band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
2540-44551,colorado,USA,2008,F,137,0,84.75,19,51608,16.94648089,685.1066667,0.563622574,30.41287414,611.7433333,0.47427713,28.16142297,644.1566667,0.465381866,15.94147421,617.7666667,0.546521702,2540-44551 CO,40.0274,-105.2519
2540-44552,colorado,USA,2008,F,173,8,75.75,18.5,51608,15.21097463,688.49,0.559279188,29.02719463,593.0733333,0.475152527,27.9169137,588.7533333,0.448786732,21.64658988,673.77,0.515103187,2540-44552 CO,40.0274,-105.2519
2540-44553,colorado,USA,2008,F,159,5,75.91666666500001,17.5,51608,14.69807929,608.77,0.539177458,24.52818678,632.0733333,0.465161755,18.62311551,640.47,0.512774859,27.63130613,573.4233333,0.431285329,2540-44553 CO,40.0274,-105.2519
2540-44554,colorado,USA,2008,M,132,8,90,18.5,51608,11.09686446,648.0866667,0.579159802,38.81094559,601.45,0.431334475,27.51385261,572.06,0.473757948,22.20529695,624.06,0.435231196,2540-44554 CO,40.0274,-105.2519
2540-44555,colorado,USA,2008,M,159,8,88.16666666500001,17.5,51608,14.95374712,620.4333333,0.494966833,15.08224854,670.4133333,0.534222636,19.84332616,647.7466667,0.52271148,20.1967745,653.43,0.545431845,2540-44555 CO,40.0274,-105.2519
2540-44556,colorado,USA,2008,M,154,4,93.83333333499999,19.5,51608,13.15282958,667.1133333,0.586512225,32.49184009,620.7266667,0.448224577,21.78932716,577.0966667,0.475073305,24.7647977,595.0766667,0.472936163,2540-44556 CO,40.0274,-105.2519
2540-44557,colorado,USA,2008,F,NA,NA,77.5,18.5,51608,17.15867334,662.1233333,0.524478262,30.99230212,588.4066667,0.417732572,26.61994742,595.4566667,0.452244969,22.4855116,601.42,0.415981004,2540-44557 CO,40.0274,-105.2519
2540-44558,colorado,USA,2008,F,140,7,84.91666666500001,18.5,51608,20.0924243,670.1466667,0.51086895,41.8838421,600.4633333,0.400676733,47.1859324,607.7966667,0.381088057,34.74035937,609.4266667,0.376528931,2540-44558 CO,40.0274,-105.2519
2540-44559,colorado,USA,2008,F,139,4,84.5,24,51908,10.06870122,648.0633333,0.560659828,17.23815991,569.0666667,0.47371645,25.44251544,601.4566667,0.442333686,27.26347538,639.13,0.471943672,2540-44559 CO,40.0274,-105.2519
2540-44560,colorado,USA,2008,F,NA,NA,80.08333333499999,19,51908,8.138020197,670.1466667,0.551590382,26.61684694,631.8,0.442986374,27.61267802,607.4733333,0.475146937,12.40618144,694.15,0.5593782,2540-44560 CO,40.0274,-105.2519
