"","band","sex","location","lat","long","date","rwl.mean","lts.mean","rts.mean","tail.mean","weight","tarsus.mean","bill.length.mean","bill.depth.mean","bill.width.mean","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","mate.id","date2","b.avg.bright","b.chrom","b.hue","b.total.bright","r.avg.bright","r.chrom","r.hue","r.total.bright","t.avg.bright","t.chrom","t.hue","t.total.bright","v.avg.bright","v.chrom","v.hue","v.total.bright"
"24","1624","M","Bats.Ahoy",31.41493,31.566259,"4/8/15",123.1666667,NA,120,120,17.15,10.73333333,5.766666667,3.033333333,4.766666667,97,93,87,80,74,69,63,58.5,52,NA,40815,12.6059657820063,0.496087921961339,654.166666666667,25174.1136666667,17.4650174762143,0.464052591543581,640.096666666667,34877.6399,7.29410579202136,0.511872707444257,689.106666666667,14566.3292666667,13.2254618928393,0.50300594773896,668.036666666667,26411.2474
"25","1625","F","Bats.Ahoy",31.41493,31.566259,"4/8/15",113.6666667,85.83333333,84.16666667,85,15,10.86666667,5.583333333,3.033333333,4.7,87,86.5,81,76,71,65,60,55,50,NA,40815,23.2069113002838,0.455204842977278,599.81,46344.2018666667,18.7680109330663,0.472501903647559,651.76,37479.7178333333,11.2127798698047,0.491442246705574,686.796666666667,22391.9214,14.6152472208312,0.515799752312744,676.073333333333,29186.6487
"26","1626","M","Bats.Ahoy",31.41493,31.566259,"4/8/15",120.6666667,91,88.66666667,89.83333333,16.74,10.06666667,6.133333333,3.05,4.783333333,93.5,93,88,82,77,71,66,59,53,NA,40815,13.5836797195794,0.480519432497636,663.083333333333,27126.6084,12.4833799699549,0.512392195394099,660.026666666667,24929.3098,6.25750143548656,0.546205921125669,659.08,12496.2303666667,14.6793980637623,0.500797179358484,647.39,29314.7579333333
"27","1627","F","Bats.Ahoy",31.41493,31.566259,"4/8/15",115,86.5,NA,86.5,13.91,10.46666667,5.5,2.666666667,4.566666667,91,95,84,79,74,69,63,57,51,NA,40815,28.2630879652813,0.44086946308688,643.736666666667,56441.3866666667,26.7776150893006,0.428217199789019,627.433333333333,53474.8973333333,12.5745541979636,0.487124049445662,659.706666666667,25111.3847333333,15.6916792355199,0.479021144304959,627.756666666667,31336.2834333333
"28","1628","F","Bats.Ahoy",31.41493,31.566259,"4/8/15",119.8333333,86.66666667,87.16666667,86.91666667,16.34,10.66666667,5.466666667,2.9,4.466666667,93,90,85,77.5,72,67,61,57,51,NA,40815,14.0324268235687,0.512680738986123,680.39,28022.7563666667,15.6776642463696,0.476342997848541,632.446666666667,31308.2955,9.6695668002003,0.495888176904509,675.08,19310.1249,13.6998736271073,0.483542776140568,682.446666666667,27358.6476333333
"29","1629","F","Through.Window",31.41493,31.566259,"4/11/15",116,85,83.33333333,84.16666667,14.68,10.13333333,5.566666667,2.65,4.95,92,90,85,79,74,68,64,58,52,"1624",41115,16.5840677516274,0.500680976159683,661.416666666667,33118.3833,24.6839966616592,0.435407704161509,646.416666666667,49293.9413333333,9.79715121014856,0.500491442085331,664.423333333333,19564.9109666667,14.8046830245368,0.500252962391186,668.4,29564.952
"30","1630","F","OMG",31.41493,31.566259,"4/11/15",124,93,91.16666667,92.08333333,16.05,11.4,5.283333333,3.033333333,4.633333333,98,98,91,84.5,78.5,73,67.5,61,54.5,NA,41115,22.7275277916875,0.462614971233805,655.13,45386.873,17.420332448673,0.484443672659067,657.11,34788.4039,9.94732827574695,0.500726334294023,667.78,19864.8145666667,19.0946175095977,0.458700703599433,641.74,38131.9511666667
"31","1632","J","Drive.By",31.41493,31.566259,"4/12/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41215,NA,NA,NA,NA,24.1526174261392,0.431266369175634,631.69,48232.777,NA,NA,NA,NA,NA,NA,NA,NA
"32","1633","J","Drive.By",31.41493,31.566259,"4/12/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41215,NA,NA,NA,NA,24.114055249541,0.427885911877936,643.806666666667,48155.7683333333,NA,NA,NA,NA,NA,NA,NA,NA
"33","1634","F","Drive.By",31.41493,31.566259,"4/12/15",120.6666667,83.66666667,81,82.33333333,17.48,10.15,5.716666667,2.733333333,4.783333333,95,94,89,83,76,71,65,60,55,NA,41215,14.4194346686697,0.502005383335433,669.403333333333,28795.6110333333,15.097770539142,0.494455710448211,674.06,30150.2477666667,11.1388118010349,0.473410437232528,671.37,22244.2071666667,16.5897079953263,0.476373461898379,670.41,33129.6468666667
"34","1635","M","Drive.By",31.41493,31.566259,"4/12/15",122,96,NA,96,NA,11.46666667,5.566666667,2.966666667,4.5,95,94,88,82,78,71.5,66,60,53.5,NA,41215,11.7300170255383,0.511065690556091,639.096666666667,23424.844,14.2088481722584,0.481621841716054,636.78,28375.0698,9.97891527290936,0.489161502634268,677.426666666667,19927.8938,10.607245201135,0.49927317782409,656.743333333333,21182.6686666667
"35","1636","M","Drive.By",31.41493,31.566259,"4/12/15",121.5,101.8333333,102,101.9166667,16.94,10.4,5.6,2.833333333,4.666666667,95,93,87,81,75.5,70,64,58,51,NA,41215,12.9635909197129,0.513231583340375,658.386666666667,25888.2910666667,14.9787075279586,0.490950357650302,682.01,29912.4789333333,11.0757370889668,0.495384049245643,680.756666666667,22118.2469666667,9.9968482223335,0.480294173692525,661.093333333333,19963.7059
