"","band","sex","location","date","rwl.mean","rts.mean","lts.mean","tail.mean","weight","bill.length.mean","bill.width.mean","bill.depth.mean","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","t.total.bright","t.avg.bright","t.hue","t.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","b.total.bright","b.avg.bright","b.hue","b.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","mate.id"
"56","X242058","M","Hoquq","3/2/15",129,116,106,111,20.25,5.73,5.47,2.97,102,97,91,84,79,72,67,60,52,17591.1874,8.80880691,642.78,0.479366748,61503.11133,30.7977523,660.75,0.424738908,87168.929,43.64993941,586.13,0.385164492,38736.5441,19.3973681,643.4133333,0.495208143,"X242059"
"57","X242059","F","Hoquq","3/2/2015",126,90,92,91,21.84,5.5,5.7,3.07,100,95,87,79,73,68,62,56,51,31564.9409,15.80617972,659.7066667,0.459336354,71174.833,35.64087782,660.02,0.433242291,61651.8536,30.87223515,626.7933333,0.421822714,52359.11367,26.21888516,660.02,0.426434708,"X242058"
"58","X242060","F","amiad","3/2/2015",119.17,83,85,84,19.14,5.97,5.67,2.93,94,93,85,79,74,68,64,55,50,36296.05873,18.17529231,669.4233333,0.417572183,72878.06267,36.49377199,619.1466667,0.39552728,91001.25167,45.5689793,583.4466667,0.352556942,42441.31373,21.25253567,668.1333333,0.482758612,"X242077"
"59","X242061","F","amiad","3/2/15",120,85,86.83,85.92,20.15,5.73,5.33,3.13,93,92,84,79,74,68,63,56,50,23359.06073,11.69707598,663.4166667,0.508288213,78659.57133,39.38886897,649.4133333,0.385043073,44165.06847,22.1157078,659.08,0.421591515,53206.3903,26.64315989,632.3966667,0.482402492,"Y26240"
"60","X242062","F","amiad","3/2/15",119,83,82.83,82.92,19.01,5.9,5.53,2.93,93,92,84,77.5,71,63,59,54,48,24902.2004,12.46980491,678.45,0.508302758,49189.2178,24.63155623,659.3933333,0.453111722,59061.5476,29.5751365,659.3933333,0.406470113,43948.33187,22.0071767,659.3933333,0.478841191,NA
"61","X242063","F","Kahal","3/4/2015",124.5,91.5,91.67,91.58,19.01,6.5,5.4,2.87,98,95,89,80,73,68,62,58,52,23403.86773,11.71951314,659.7733333,0.499965842,57665.75967,28.87619412,667.8,0.456381766,69568.52933,34.83651945,660.02,0.433241594,35872.0105,17.96294967,659.7066667,0.515809405,"X242064"
"62","X242064","M","Kahal","3/4/15",129.33,119,119,119,19.66,6.27,5.67,3.23,103,97,89,82,74,69,65,59,51,23309.23927,11.67212783,667.0366667,0.482641579,74560.241,37.33612469,625.7066667,0.379460749,79723.66733,39.92171624,627.1233333,0.385628982,48553.45833,24.31319897,642.7066667,0.447395134,"X242063"
"63","X242065","M","Kahal","3/4/15",126,128,128.67,128.33,19.85,6,5.2,3.23,100,96,89,83,76,68,63,59,52,29741.09363,14.89288615,659.7066667,0.487797935,64623.411,32.36024587,625.7066667,0.432372075,53977.53267,27.0293103,642.7066667,0.459013325,49118.7449,24.59626685,643.4,0.483083301,"X242066"
"64","X242066","F","Kahal","3/4/2015",122,98.17,99,98.58,24.35,6.03,5.87,3.23,100,94,89,80,76,70,62,58,50,17878.95063,8.952904674,666.1,0.534835273,50220.18407,25.14781375,659.08,0.444411203,53302.57687,26.69132542,642.7066667,0.435686871,32097.87747,16.07304831,667.7233333,0.505683425,"X242065"
"65","X242067","F","Kahal","3/5/15",116.83,82,83,82.5,NA,5.8,5.47,3.03,94,91,85,78,72,66,59,54,48,28927.33,14.48539309,643.1,0.486180626,78801.611,39.45999549,594.06,0.403033136,77727.96067,38.92236388,598.4566667,0.389177105,48817.62,24.44547822,626.4133333,0.462892502,"X242076"
"66","X242068","M","amiad","3/5/2015",120,111,111,111,18.34,5.6,5.43,2.97,95,93,87,78,73,68,63,56,50,22492.70253,11.26324614,669.7166667,0.472257263,71161.69967,35.63430129,642.7066667,0.411537625,90746.03067,45.4411771,586.4033333,0.377025023,76087.945,38.10112419,659.3933333,0.384470645,"X242070"
"67","X242069","F","amiad","3/5/2015",122.83,86,85,85.5,16.83,6.4,5.83,3.1,97,94,88,81,76,68,64,55,50,39977.2075,20.0186317,627.8166667,0.455990047,76147.93433,38.13116391,610.05,0.419038732,75180.47833,37.64670923,626.7933333,0.386457038,55373.092,27.72813821,642.7066667,0.438174819,NA
"68","X242070","F","amiad","3/6/15",127,89.33,NA,89.33,21.83,5.6,5.4,2.77,96,93,88,80.5,77,70,65,58,53,23043.72347,11.53917049,643.0933333,0.499288504,80510.05633,40.31550142,598.07,0.400369354,63986.41633,32.04127007,643.7866667,0.430600654,43462.24917,21.76377024,642.78,0.472046415,"X242068"
